company,country,type,founder_name,linkedin_url,website,hook
Wolfgang Digital,Ireland,Digital Marketing,Alan Coleman,https://www.linkedin.com/in/alanc0leman/,https://wolfgangdigital.com,contract risk
VROOM Digital,Ireland,Digital Marketing,Shane Curtin,https://www.linkedin.com/in/shanecurtin/,https://vroomdigital.ie,contract risk
Friday Agency,Ireland,Digital Marketing / UX,Graham Carroll,https://www.linkedin.com/in/grahamcarroll/,https://friday.ie,contract risk
Ebow Digital,Ireland,Digital Agency,David Douglas,https://www.linkedin.com/in/daviddouglas/,https://ebow.com,contract risk
Core Optimisation,Ireland,Digital Transformation,Caroline Dunlea,https://www.linkedin.com/in/carolinedunlea/,https://coreoptimisation.com,contract risk
Kola Digital,Ireland,Digital Agency,Krystle Foley,https://www.linkedin.com/in/krystlefoley/,https://koladigital.ie,contract risk
Escalate Digital Marketing,Ireland,Digital Marketing,Andrew Nolan,https://www.linkedin.com/in/andrewnolan/,https://escalatedigital.ie,contract risk
Annertech,Ireland,Digital / Drupal,Stella Power,https://www.linkedin.com/in/stella-power/,https://annertech.com,contract risk
Square Root Solutions,Ireland,Software Development,Ciaran Stone,https://www.linkedin.com/in/ciaranstone/,https://squarerootsolutions.ie,contract risk
Octave Digital,Ireland,Digital Agency,Paul McGarrity,https://www.linkedin.com/in/paulmcgarrity/,https://octavedigital.com,contract risk
Revolution,Ireland,Digital / Sustainable,Maciej Sroka,https://www.linkedin.com/in/maciejsroka/,https://revolution.ie,contract risk
Dalia Digital,Ireland,Digital Marketing,Cidalia Ribeiro,https://www.linkedin.com/in/cidaliaribeiro/,https://daliadigital.ie,contract risk
Luminosity Digital,Ireland,Digital Marketing,Aoife McIlraith,https://www.linkedin.com/in/aoifemcilraith/,https://luminositydigital.ie,contract risk
Foundari,Ireland,Digital Agency,Justin Angelson,https://www.linkedin.com/in/justinangelson/,https://foundari.ie,contract risk
Treaty Software,Ireland,Software Development,Damien Lee,https://www.linkedin.com/in/damienlee/,https://treatysoftware.ie,contract risk
DNA Digital,UK,Mobile App Development,Nathan Mathan,https://www.linkedin.com/in/nathanmathan/,https://dnadigital.co.uk,contract risk
Sonin,UK,App Development,Paul Jarrett,https://www.linkedin.com/in/pauldjarrett/,https://sonin.agency,contract risk
Ghyston,UK,Software Development,Emily Hill,https://www.linkedin.com/in/emilyhill/,https://ghyston.com,contract risk
Studio 24,UK,Digital Agency,Simon Jones,https://www.linkedin.com/in/simonrjones/,https://studio24.net,contract risk
mmtm,UK,Digital / Mobile,Rupert Maspero,https://www.linkedin.com/in/rupertmaspero/,https://mmtm.co.uk,contract risk
PeakCode,UK,Software Consultancy,Owain,https://www.linkedin.com/in/owain/,https://peakcode.co.uk,contract risk
